phone_id,model,url,display_ratio,display_area_cm2,resolution,screen_size,ppi,os,chipset,ram,storage,battery,status_code,error_message
107,Moto G41,https://www.gsmarena.com/motorola_moto_g41-11224.php,20:9,98.89,1080x2400,"6.4""",,,,,,,200,
108,Moto G42,https://www.gsmarena.com/motorola_moto_g42-11608.php,20:9,98.89,1080x2400,"6.4""",,,,,,,200,
109,Moto G45,https://www.gsmarena.com/motorola_moto_g45-13267.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
110,Moto G4 Play,https://www.gsmarena.com/motorola_moto_g4_play-8104.php,16:9,68.92,720x1280,"5.0""",,,,,,,200,
111,Moto G4 Plus,https://www.gsmarena.com/motorola_moto_g4_plus-8050.php,16:9,83.39,1080x1920,"5.5""",,,,,,,200,
112,Moto G5,https://www.gsmarena.com/motorola_moto_g5-8454.php,16:9,68.92,1080x1920,"5.0""",,,,,,,200,
113,Moto G50,https://www.gsmarena.com/motorola_moto_g50-10789.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
114,Moto G50 5G,https://www.gsmarena.com/motorola_moto_g50_5g-11070.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
115,Moto G51 5G,https://www.gsmarena.com/motorola_moto_g51_5g-11194.php,20:9,111.64,1080x2400,"6.8""",,,,,,,200,
116,Moto G52,https://www.gsmarena.com/motorola_moto_g52-11457.php,20:9,105.17,1080x2400,"6.6""",,,,,,,200,
117,Moto G53,https://www.gsmarena.com/motorola_moto_g53-12028.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
118,Moto G54,https://www.gsmarena.com/motorola_moto_g54-12543.php,20:9,102.01,1080x2400,"6.5""",,,,,,,200,
119,Moto G54 Power,https://www.gsmarena.com/motorola_moto_g54_power-12503.php,20:9,102.01,1080x2400,"6.5""",,,,,,,200,
120,Moto G55,https://www.gsmarena.com/motorola_moto_g55-13278.php,20:9,101.69,1080x2400,"6.49""",,,,,,,200,
121,Moto G56,https://www.gsmarena.com/motorola_moto_g56_5g-13841.php,20:9,109.03,1080x2400,"6.72""",,,,,,,200,
122,Moto G57,https://www.gsmarena.com/motorola_moto_g57_5g-14284.php,20:9,109.03,1080x2400,"6.72""",,,,,,,200,
123,Moto G57 Power,https://www.gsmarena.com/motorola_moto_g57_power_5g-14282.php,20:9,109.03,1080x2400,"6.72""",,,,,,,200,
124,Moto G5 Plus,https://www.gsmarena.com/motorola_moto_g5_plus-8453.php,16:9,74.54,1080x1920,"5.2""",,,,,,,200,
125,Moto G5S,https://www.gsmarena.com/motorola_moto_g5s-8698.php,16:9,74.54,1080x1920,"5.2""",,,,,,,200,
126,Moto G5S Plus,https://www.gsmarena.com/motorola_moto_g5s_plus-8699.php,16:9,83.39,1080x1920,"5.5""",,,,,,,200,
127,Moto G6,https://www.gsmarena.com/motorola_moto_g6-9000.php,18:9,83.84,1080x2160,"5.7""",,,,,,,200,
128,Moto G60,https://www.gsmarena.com/motorola_moto_g60-10861.php,,,1080x2460,"6.8""",,,,,,,200,
129,Moto G60S,https://www.gsmarena.com/motorola_moto_g60s-11047.php,,,1080x2460,"6.8""",,,,,,,200,
130,Moto G62 (India),https://www.gsmarena.com/motorola_moto_g62_(india)-11754.php,20:9,102.01,1080x2400,"6.5""",,,,,,,200,
131,Moto G62 5G,https://www.gsmarena.com/motorola_moto_g62_5g-11602.php,20:9,102.01,1080x2400,"6.5""",,,,,,,200,
132,Moto G64,https://www.gsmarena.com/motorola_moto_g64-12925.php,20:9,102.01,1080x2400,"6.5""",,,,,,,200,
133,Moto G67 Power,https://www.gsmarena.com/motorola_moto_g67_power_5g-14266.php,20:9,108.38,1080x2400,"6.7""",,,,,,,200,
134,Moto G6 Play,https://www.gsmarena.com/motorola_moto_g6_play-9002.php,18:9,83.84,720x1440,"5.7""",,,,,,,200,
135,Moto G6 Plus,https://www.gsmarena.com/motorola_moto_g6_plus-9001.php,18:9,89.83,1080x2160,"5.9""",,,,,,,200,
136,Moto G7,https://www.gsmarena.com/motorola_moto_g7-9357.php,19:9,95.95,1080x2270,"6.2""",,,,,,,200,
137,Moto G71 5G,https://www.gsmarena.com/motorola_moto_g71_5g-11223.php,20:9,98.89,1080x2400,"6.4""",,,,,,,200,
138,Moto G71s,https://www.gsmarena.com/motorola_moto_g71s-11531.php,,,1080x2440,"6.6""",,,,,,,200,
139,Moto G72,https://www.gsmarena.com/motorola_moto_g72-11910.php,20:9,105.17,1080x2400,"6.6""",,,,,,,200,
140,Moto G73,https://www.gsmarena.com/motorola_moto_g73-12079.php,20:9,102.01,1080x2400,"6.5""",,,,,,,200,
141,Moto G75,https://www.gsmarena.com/motorola_moto_g75-13372.php,48:58,145.67,1080x2388,"6.78""",,,,,,,200,
142,Moto G7 Play,https://www.gsmarena.com/motorola_moto_g7_play-9532.php,19:9,81.09,720x1512,"5.7""",,,,,,,200,
143,Moto G7 Plus,https://www.gsmarena.com/motorola_moto_g7_plus-9533.php,19:9,95.95,1080x2270,"6.2""",,,,,,,200,
144,Moto G7 Power,https://www.gsmarena.com/motorola_moto_g7_power-9527.php,19.5:9,94.36,720x1570,"6.2""",,,,,,,200,
145,Moto G8,https://www.gsmarena.com/motorola_moto_g8-10051.php,19.5:9,100.55,720x1560,"6.4""",,,,,,,200,
146,Moto G82,https://www.gsmarena.com/motorola_moto_g82-11508.php,20:9,105.17,1080x2400,"6.6""",,,,,,,200,
147,Moto G84,https://www.gsmarena.com/motorola_moto_g84-12526.php,20:9,102.01,1080x2400,"6.5""",,,,,,,200,
148,Moto G85,https://www.gsmarena.com/motorola_moto_g85-13144.php,20:9,107.41,1080x2400,"6.67""",,,,,,,200,
149,Moto G86,https://www.gsmarena.com/motorola_moto_g86_5g-13917.php,20:9,107.41,1220x2712,"6.67""",,,,,,,200,
150,Moto G86 Power,https://www.gsmarena.com/motorola_moto_g86_power_5g-13918.php,20:9,107.41,1220x2712,"6.67""",,,,,,,200,
151,Moto G8 Play,https://www.gsmarena.com/motorola_moto_g8_play-9918.php,19:9,95.95,720x1520,"6.2""",,,,,,,200,
152,Moto G8 Plus,https://www.gsmarena.com/motorola_moto_g8_plus-9916.php,19:9,99.07,1080x2280,"6.3""",,,,,,,200,
153,Moto G8 Power,https://www.gsmarena.com/motorola_moto_g8_power-10052.php,1466:1,0.18,1080x2300,"6.4""",,,,,,,200,
154,Moto G8 Power Lite,https://www.gsmarena.com/motorola_moto_g8_power_lite-10154.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
155,Moto G9 (India),https://www.gsmarena.com/motorola_moto_g9_(india)-10384.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
156,Moto G9 Play,https://www.gsmarena.com/motorola_moto_g9_play-10387.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
157,Moto G9 Plus,https://www.gsmarena.com/motorola_moto_g9_plus-10432.php,20:9,111.97,1080x2400,"6.81""",,,,,,,200,
158,Moto G9 Power,https://www.gsmarena.com/motorola_moto_g9_power-10574.php,1680:1,0.18,720x1640,"6.8""",,,,,,,200,
159,Moto G (2022),https://www.gsmarena.com/motorola_moto_g_(2022)-11491.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
