phone_id,model,url,body_dimensions,body_weight,body_build,sim,display_type,display_size,resolution,protection,status_code,error_message
52,Neo7,https://www.gsmarena.com/realme_neo7-13540.php,162.6 x 76.4 x 8.6 mm (6.40 x 3.01 x 0.34 in),213 g (7.51 oz),,Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 120Hz, HDR, 1600 nits (HBM), 6000 nits (peak)","6.78 inches, 111.7 cm2 (~90.0% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),Crystal Armor glass,200,
53,Note 60x,https://www.gsmarena.com/realme_note_60x-13558.php,167.3 x 76.7 x 7.8 mm (6.59 x 3.02 x 0.31 in),187 g (6.60 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 560 nits (peak)","6.74 inches, 109.7 cm2 (~85.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",Reinforced glass,200,
54,V60 pro,https://www.gsmarena.com/realme_v60_pro-13529.php,165.7 x 76.2 x 8 mm (6.52 x 3.00 x 0.31 in),197 g (6.95 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 625 nits","6.67 inches, 107.2 cm2 (~84.9% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,200,
55,C75 4G,https://www.gsmarena.com/realme_c75-13522.php,165.7 x 76.2 x 8 mm (6.52 x 3.00 x 0.31 in),196 g (6.91 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 580 nits (typ), 690 nits (HBM)","6.72 inches, 109.0 cm2 (~86.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",ArmorShell glass,200,
56,GT 7 Pro,https://www.gsmarena.com/realme_gt_7_pro-13470.php,162.5 x 76.9 x 8.6 mm (6.40 x 3.03 x 0.34 in),222.8 g  (7.87 oz),"Glass front (Gorilla Glass 7i), aluminum frame, glass back (Panda Glass)",Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 120Hz, 2600Hz PWM, HDR10+, Dolby Vision, 1000 nits (typ), 2000 nits (HBM), 6500 nits (peak)","6.78 inches, 111.7 cm2 (~89.4% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),"Corning Gorilla Glass 7i, Mohs level 5",200,
57,P1 Speed,https://www.gsmarena.com/realme_p1_speed-13414.php,161.7 x 74.7 x 7.6 mm (6.37 x 2.94 x 0.30 in),185 g (6.53 oz),,Nano-SIM + Nano-SIM,"OLED, 120Hz, 600 nits (typ), 2000 nits (peak)","6.67 inches, 107.4 cm2 (~88.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,200,
58,P2 Pro,https://www.gsmarena.com/realme_p2_pro-13332.php,161.3 x 73.9 x 8.2 mm (6.35 x 2.91 x 0.32 in),180 g (6.35 oz),,Nano-SIM + Nano-SIM,"OLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM), 2000 nits (peak)","6.7 inches, 108.0 cm2 (~90.6% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,200,
59,Narzo 70 Turbo,https://www.gsmarena.com/realme_narzo_70_turbo-13294.php,161.7 x 74.7 x 7.6 mm (6.37 x 2.94 x 0.30 in),185 g (6.53 oz),,Nano-SIM + Nano-SIM,"OLED, 120Hz, HDR, 600 nits (typ), 2000 nits (peak)","6.67 inches, 107.4 cm2 (~88.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,200,
60,Note 60,https://www.gsmarena.com/realme_note_60-13283.php,167.3 x 76.7 x 7.8 mm (6.59 x 3.02 x 0.31 in),187 g (6.60 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 450 nits (typ), 560 nits (HBM)","6.74 inches, 109.7 cm2 (~85.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",Reinforced glass,200,
61,13+,https://www.gsmarena.com/realme_13+-13255.php,161.7 x 74.7 x 7.6 mm (6.37 x 2.94 x 0.30 in),185 g (6.53 oz),,Nano-SIM + Nano-SIM,"AMOLED, 120Hz, HDR10+, 600 nits (typ), 2000 nits (peak)","6.67 inches, 107.4 cm2 (~88.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,200,
62,13,https://www.gsmarena.com/realme_13-13289.php,165.6 x 76.1 x 7.8 mm (6.52 x 3.00 x 0.31 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 580 nits (typ)","6.72 inches, 109.0 cm2 (~86.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,200,
63,C63 5G,https://www.gsmarena.com/realme_c63_5g-13260.php,165.6 x 76.1 x 7.9 mm (6.52 x 3.00 x 0.31 in),192 g (6.77 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 500 nits (typ), 625 nits (HBM)","6.67 inches, 107.2 cm2 (~85.1% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,200,
