ID,Modelo,URL,Ratio,Area_cm2,Resolução,Tamanho,PPI,Status,Extraído_em
112,"S5 Pro (48+40)",https://www.gsmarena.com/infinix_s5_pro_(48+40)-10127.php,19.5:9,104.67,1080x2340,6.53",N/A,SUCCESS,2025-12-16 20:39:20
113,"Smart",https://www.gsmarena.com/infinix_smart-9431.php,16:9,68.92,720x1280,5.0",N/A,SUCCESS,2025-12-16 20:40:21
114,"Smart3 Plus",https://www.gsmarena.com/infinix_smart3_plus-9680.php,19:9,96.26,720x1520,6.21",N/A,SUCCESS,2025-12-16 20:41:22
115,"Smart 10",https://www.gsmarena.com/infinix_smart_10-13933.php,20:9,107.41,720x1600,6.67",N/A,SUCCESS,2025-12-16 20:42:23
116,"Smart 10 HD",https://www.gsmarena.com/infinix_smart_10_hd-13954.php,20:9,105.17,720x1612,6.6",N/A,SUCCESS,2025-12-16 20:43:24
117,"Smart 10 Plus",https://www.gsmarena.com/infinix_smart_10_plus-13953.php,20:9,107.41,720x1600,6.67",N/A,SUCCESS,2025-12-16 20:44:26
118,"Smart 2",https://www.gsmarena.com/infinix_smart_2-9430.php,18:9,78.06,720x1440,5.5",N/A,SUCCESS,2025-12-16 20:45:27
119,"Smart 2 HD",https://www.gsmarena.com/infinix_smart_2_hd-9477.php,18:9,92.90,720x1440,6.0",N/A,SUCCESS,2025-12-16 20:46:28
120,"Smart 2 Pro",https://www.gsmarena.com/infinix_smart_2_pro-9429.php,18:9,78.06,720x1440,5.5",N/A,SUCCESS,2025-12-16 20:47:28
121,"Smart 4",https://www.gsmarena.com/infinix_smart_4-9980.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 20:48:30
122,"Smart 4c",https://www.gsmarena.com/infinix_smart_4c-9975.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 20:49:31
123,"Smart 5",https://www.gsmarena.com/infinix_smart_5-10367.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 20:50:32
124,"Smart 5 (India)",https://www.gsmarena.com/infinix_smart_5_(india)-10735.php,N/A,N/A,720x1640,6.82",N/A,FAILED,2025-12-16 20:51:33
125,"Smart 5 Pro",https://www.gsmarena.com/infinix_smart_5_pro-11221.php,20:9,102.63,720x1600,6.52",N/A,SUCCESS,2025-12-16 20:52:34
126,"Smart 6",https://www.gsmarena.com/infinix_smart_6-11189.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 20:53:36
127,"Smart 6 HD",https://www.gsmarena.com/infinix_smart_6_hd-11499.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 20:54:37
128,"Smart 6 Plus (India)",https://www.gsmarena.com/infinix_smart_6_plus_(india)-11742.php,20:9,112.30,720x1600,6.82",N/A,SUCCESS,2025-12-16 20:55:38
129,"Smart 7",https://www.gsmarena.com/infinix_smart_7-12116.php,20:9,105.17,720x1612,6.6",N/A,SUCCESS,2025-12-16 20:56:39
130,"Smart 7 (India)",https://www.gsmarena.com/infinix_smart_7_(india)-12131.php,20:9,105.17,720x1612,6.6",N/A,SUCCESS,2025-12-16 20:57:40
131,"Smart 7 HD",https://www.gsmarena.com/infinix_smart_7_hd-12243.php,20:9,105.17,720x1612,6.6",N/A,SUCCESS,2025-12-16 20:58:41
132,"Smart 8",https://www.gsmarena.com/infinix_smart_8-12642.php,20:9,105.17,720x1612,6.6",N/A,SUCCESS,2025-12-16 20:59:43
133,"Smart 8 (India)",https://www.gsmarena.com/infinix_smart_8_(india)-12792.php,N/A,N/A,N/A,N/A,N/A,FAILED,2025-12-16 21:00:45
134,"Smart 8 HD",https://www.gsmarena.com/infinix_smart_8_hd-12736.php,20:9,105.17,720x1612,6.6",N/A,SUCCESS,2025-12-16 21:01:46
135,"Smart 8 Plus",https://www.gsmarena.com/infinix_smart_8_plus-12817.php,20:9,105.17,720x1612,6.6",N/A,SUCCESS,2025-12-16 21:02:47
136,"Smart 8 Pro",https://www.gsmarena.com/infinix_smart_8_pro-12812.php,20:9,105.17,720x1612,6.6",N/A,SUCCESS,2025-12-16 21:03:48
137,"Smart 9",https://www.gsmarena.com/infinix_smart_9-13374.php,20:9,108.38,720x1600,6.7",N/A,SUCCESS,2025-12-16 21:04:49
138,"Smart 9 HD",https://www.gsmarena.com/infinix_smart_9_hd-13590.php,20:9,108.38,720x1600,6.7",N/A,SUCCESS,2025-12-16 21:05:51
139,"Smart HD 2021",https://www.gsmarena.com/infinix_smart_hd_2021-10646.php,19.5:9,91.34,720x1560,6.1",N/A,SUCCESS,2025-12-16 21:06:52
140,"Zero 20",https://www.gsmarena.com/infinix_zero_20-11913.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-16 21:07:53
141,"Zero 30",https://www.gsmarena.com/infinix_zero_30-12518.php,20:9,110.98,1080x2400,6.78",N/A,SUCCESS,2025-12-16 21:08:55
142,"Zero 30 4G",https://www.gsmarena.com/infinix_zero_30_4g-12641.php,20:9,110.98,1080x2400,6.78",N/A,SUCCESS,2025-12-16 21:09:56
143,"Zero 4",https://www.gsmarena.com/infinix_zero_4-9478.php,16:9,83.39,1080x1920,5.5",N/A,SUCCESS,2025-12-16 21:10:57
144,"Zero 40",https://www.gsmarena.com/infinix_zero_40-13290.php,N/A,N/A,1080x2436,6.78",N/A,FAILED,2025-12-16 21:11:58
145,"Zero 40 4G",https://www.gsmarena.com/infinix_zero_40_4g-13276.php,N/A,N/A,1080x2436,6.78",N/A,FAILED,2025-12-16 21:13:00
146,"Zero 4 Plus",https://www.gsmarena.com/infinix_zero_4_plus-9479.php,16:9,98.58,1080x1920,5.98",N/A,SUCCESS,2025-12-16 21:14:01
147,"Zero 5",https://www.gsmarena.com/infinix_zero_5-9414.php,16:9,98.58,1080x1920,5.98",N/A,SUCCESS,2025-12-16 21:15:02
148,"Zero 5 Pro",https://www.gsmarena.com/infinix_zero_5_pro-9415.php,16:9,98.58,1080x1920,5.98",N/A,SUCCESS,2025-12-16 21:16:03
149,"Zero 5G",https://www.gsmarena.com/infinix_zero_5g-11355.php,1610:1,0.18,1080x2460,6.78",N/A,SUCCESS,2025-12-16 21:17:05
150,"Zero 5G 2023",https://www.gsmarena.com/infinix_zero_5g_2023-11976.php,N/A,N/A,1080x2460,6.78",N/A,FAILED,2025-12-16 21:18:06
151,"Zero 6",https://www.gsmarena.com/infinix_zero_6-9656.php,18.7:9,96.29,1080x2246,6.18",N/A,SUCCESS,2025-12-16 21:19:07
152,"Zero 6 Pro",https://www.gsmarena.com/infinix_zero_6_pro-9657.php,18.7:9,96.29,1080x2246,6.18",N/A,SUCCESS,2025-12-16 21:20:08
153,"Zero 8",https://www.gsmarena.com/infinix_zero_8-10401.php,2184:1,0.14,1080x2460,6.85",N/A,SUCCESS,2025-12-16 21:21:09
154,"Zero 8i",https://www.gsmarena.com/infinix_zero_8i-10622.php,N/A,N/A,1080x2460,6.85",N/A,FAILED,2025-12-16 21:22:10
155,"Zero Flip",https://www.gsmarena.com/infinix_zero_flip-13347.php,26:12,116.87,1080x2640,6.9",N/A,SUCCESS,2025-12-16 21:23:11
156,"Zero Ultra",https://www.gsmarena.com/infinix_zero_ultra-11922.php,20:9,111.64,1080x2400,6.8",N/A,SUCCESS,2025-12-16 21:24:13
157,"Zero X",https://www.gsmarena.com/infinix_zero_x-11097.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-16 21:25:14
158,"Zero X Neo",https://www.gsmarena.com/infinix_zero_x_neo-11098.php,N/A,N/A,1080x2460,6.78",N/A,FAILED,2025-12-16 21:26:15
159,"Zero X Pro",https://www.gsmarena.com/infinix_zero_x_pro-10989.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-16 21:27:16
