ID,Modelo,URL,Ratio,Area_cm2,Resolução,Tamanho,PPI,Status,Extraído_em
58,"Civi 5 Pro",https://www.gsmarena.com/xiaomi_civi_5_pro_5g-13875.php,20:9,103.58,1236x2750,6.55",N/A,SUCCESS,2025-12-15 19:08:07
59,"Mi 10 5G",https://www.gsmarena.com/xiaomi_mi_10_5g-10082.php,19.5:9,109.21,1080x2340,6.67",N/A,SUCCESS,2025-12-15 19:09:08
60,"Mi 10 Lite 5G",https://www.gsmarena.com/xiaomi_mi_10_lite_5g-10159.php,20:9,104.21,1080x2400,6.57",N/A,SUCCESS,2025-12-15 19:10:09
61,"Mi 10 Lite Zoom",https://www.gsmarena.com/xiaomi_mi_10_lite_zoom-10210.php,20:9,104.21,1080x2400,6.57",N/A,SUCCESS,2025-12-15 19:11:10
62,"Mi 10 Pro 5G",https://www.gsmarena.com/xiaomi_mi_10_pro_5g-10055.php,19.5:9,109.21,1080x2340,6.67",N/A,SUCCESS,2025-12-15 19:12:12
63,"Mi 10 Ultra",https://www.gsmarena.com/xiaomi_mi_10_ultra-10361.php,19.5:9,109.21,1080x2340,6.67",N/A,SUCCESS,2025-12-15 19:13:13
64,"Mi 10 Youth 5G",https://www.gsmarena.com/xiaomi_mi_10_youth_5g-10207.php,20:9,104.21,1080x2400,6.57",N/A,SUCCESS,2025-12-15 19:14:14
65,"Mi 10i 5G",https://www.gsmarena.com/xiaomi_mi_10i_5g-10615.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 19:15:15
66,"Mi 10S",https://www.gsmarena.com/xiaomi_mi_10s-10780.php,19.5:9,109.21,1080x2340,6.67",N/A,SUCCESS,2025-12-15 19:16:16
67,"Mi 10T 5G",https://www.gsmarena.com/xiaomi_mi_10t_5g-10473.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 19:17:17
68,"Mi 10T Lite 5G",https://www.gsmarena.com/xiaomi_mi_10t_lite_5g-10480.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 19:18:19
69,"Mi 10T Pro 5G",https://www.gsmarena.com/xiaomi_mi_10t_pro_5g-10437.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 19:19:20
70,"Mi 11",https://www.gsmarena.com/xiaomi_mi_11-10656.php,20:9,111.97,1440x3200,6.81",N/A,SUCCESS,2025-12-15 19:20:21
71,"Mi 11 Lite",https://www.gsmarena.com/xiaomi_mi_11_lite-10665.php,20:9,103.58,1080x2400,6.55",N/A,SUCCESS,2025-12-15 19:21:22
72,"Mi 11 Lite 5G",https://www.gsmarena.com/xiaomi_mi_11_lite_5g-10815.php,20:9,103.58,1080x2400,6.55",N/A,SUCCESS,2025-12-15 19:22:23
73,"Mi 11 Pro",https://www.gsmarena.com/xiaomi_mi_11_pro-10816.php,20:9,111.97,1440x3200,6.81",N/A,SUCCESS,2025-12-15 19:23:25
74,"Mi 11 Ultra",https://www.gsmarena.com/xiaomi_mi_11_ultra-10737.php,20:9,111.97,1440x3200,6.81",N/A,SUCCESS,2025-12-15 19:24:26
75,"Mi 11i",https://www.gsmarena.com/xiaomi_mi_11i-10777.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 19:25:27
76,"Mi 11X",https://www.gsmarena.com/xiaomi_mi_11x-10775.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 19:26:28
77,"Mi 11X Pro",https://www.gsmarena.com/xiaomi_mi_11x_pro-10776.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 19:27:29
78,"Mi 1S",https://www.gsmarena.com/xiaomi_mi_1s-4929.php,16:9,44.11,480x854,4.0",N/A,SUCCESS,2025-12-15 19:28:30
79,"Mi 2",https://www.gsmarena.com/xiaomi_mi_2-4928.php,16:9,50.97,720x1280,4.3",N/A,SUCCESS,2025-12-15 19:29:32
80,"Mi 2A",https://www.gsmarena.com/xiaomi_mi_2a-5646.php,16:9,55.82,720x1280,4.5",N/A,SUCCESS,2025-12-15 19:30:33
81,"Mi 2S",https://www.gsmarena.com/xiaomi_mi_2s-5397.php,16:9,50.97,720x1280,4.3",N/A,SUCCESS,2025-12-15 19:31:34
82,"Mi 3",https://www.gsmarena.com/xiaomi_mi_3-5678.php,16:9,68.92,1080x1920,5.0",N/A,SUCCESS,2025-12-15 19:32:35
83,"Mi 4",https://www.gsmarena.com/xiaomi_mi_4-6518.php,16:9,68.92,1080x1920,5.0",N/A,SUCCESS,2025-12-15 19:33:36
84,"Mi 4 LTE",https://www.gsmarena.com/xiaomi_mi_4_lte-6866.php,16:9,68.92,1080x1920,5.0",N/A,SUCCESS,2025-12-15 19:34:37
85,"Mi 4c",https://www.gsmarena.com/xiaomi_mi_4c-7512.php,16:9,68.92,1080x1920,5.0",N/A,SUCCESS,2025-12-15 19:35:38
86,"Mi 4i",https://www.gsmarena.com/xiaomi_mi_4i-7211.php,16:9,68.92,1080x1920,5.0",N/A,SUCCESS,2025-12-15 19:36:40
87,"Mi 4s",https://www.gsmarena.com/xiaomi_mi_4s-7962.php,16:9,68.92,1080x1920,5.0",N/A,SUCCESS,2025-12-15 19:37:41
88,"Mi 5",https://www.gsmarena.com/xiaomi_mi_5-6948.php,16:9,73.12,1080x1920,5.15",N/A,SUCCESS,2025-12-15 19:38:42
89,"Mi 5c",https://www.gsmarena.com/xiaomi_mi_5c-8439.php,16:9,73.12,1080x1920,5.15",N/A,SUCCESS,2025-12-15 19:39:43
90,"Mi 5s",https://www.gsmarena.com/xiaomi_mi_5s-7260.php,16:9,73.12,1080x1920,5.15",N/A,SUCCESS,2025-12-15 19:40:44
91,"Mi 5s Plus",https://www.gsmarena.com/xiaomi_mi_5s_plus-8350.php,16:9,89.57,1080x1920,5.7",N/A,SUCCESS,2025-12-15 19:41:45
92,"Mi 6",https://www.gsmarena.com/xiaomi_mi_6-8507.php,16:9,73.12,1080x1920,5.15",N/A,SUCCESS,2025-12-15 19:42:47
93,"Mi 6 Plus",https://www.gsmarena.com/xiaomi_mi_6_plus-8629.php,16:9,89.57,1080x1920,5.7",N/A,SUCCESS,2025-12-15 19:43:48
94,"Mi 6c",https://www.gsmarena.com/xiaomi_mi_6c-8798.php,16:9,73.12,1080x1920,5.15",N/A,SUCCESS,2025-12-15 19:44:49
95,"Mi 8",https://www.gsmarena.com/xiaomi_mi_8-9065.php,N/A,N/A,1080x2248,6.21",N/A,FAILED,2025-12-15 19:45:50
96,"Mi 8 Explorer",https://www.gsmarena.com/xiaomi_mi_8_explorer-9218.php,N/A,N/A,1080x2248,6.21",N/A,FAILED,2025-12-15 19:46:51
97,"Mi 8 Lite",https://www.gsmarena.com/xiaomi_mi_8_lite-9329.php,19:9,97.81,1080x2280,6.26",N/A,SUCCESS,2025-12-15 19:47:52
98,"Mi 8 Pro",https://www.gsmarena.com/xiaomi_mi_8_pro-9336.php,N/A,N/A,1080x2248,6.21",N/A,FAILED,2025-12-15 19:48:54
99,"Mi 8 SE",https://www.gsmarena.com/xiaomi_mi_8_se-9219.php,18.7:9,87.16,1080x2244,5.88",N/A,SUCCESS,2025-12-15 19:49:55
100,"Mi 9",https://www.gsmarena.com/xiaomi_mi_9-9507.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 19:50:56
101,"Mi 9 Explorer",https://www.gsmarena.com/xiaomi_mi_9_explorer-9584.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 19:51:57
102,"Mi 9 Lite",https://www.gsmarena.com/xiaomi_mi_9_lite-9862.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 19:52:58
103,"Mi 9 Pro",https://www.gsmarena.com/xiaomi_mi_9_pro-9891.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 19:53:59
104,"Mi 9 Pro 5G",https://www.gsmarena.com/xiaomi_mi_9_pro_5g-9892.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 19:55:01
105,"Mi 9 SE",https://www.gsmarena.com/xiaomi_mi_9_se-9583.php,19.5:9,87.49,1080x2340,5.97",N/A,SUCCESS,2025-12-15 19:56:02
106,"Mi 9T",https://www.gsmarena.com/xiaomi_mi_9t-9738.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 19:57:03
107,"Mi 9T Pro",https://www.gsmarena.com/xiaomi_mi_9t_pro-9791.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 19:58:04
108,"Mi 9X",https://www.gsmarena.com/xiaomi_mi_9x-9650.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 19:59:05
109,"Mi A1 (Mi 5X)",https://www.gsmarena.com/xiaomi_mi_a1_(mi_5x)-8776.php,16:9,83.39,1080x1920,5.5",N/A,SUCCESS,2025-12-15 20:00:07
110,"Mi A2 (Mi 6X)",https://www.gsmarena.com/xiaomi_mi_a2_(mi_6x)-9140.php,18:9,92.59,1080x2160,5.99",N/A,SUCCESS,2025-12-15 20:01:08
111,"Mi A2 Lite (Redmi 6 Pro)",https://www.gsmarena.com/xiaomi_mi_a2_lite_(redmi_6_pro)-9247.php,19:9,85.13,1080x2280,5.84",N/A,SUCCESS,2025-12-15 20:02:09
